2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DataInicioAfastamento', Tipo Esperado: typing.Optional[datetime.date], Valor: 'NaT', Tipo Real: <class 'pandas._libs.tslibs.nattype.NaTType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DataFimAfastamento', Tipo Esperado: typing.Optional[datetime.date], Valor: 'NaT', Tipo Real: <class 'pandas._libs.tslibs.nattype.NaTType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'CodigoTipoLicenca', Tipo Esperado: typing.Optional[str], Valor: 'nan', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:56 - Falha na validação da Matrícula 012234: 'float' object cannot be interpreted as an integer
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:57 - --- VERIFICANDO TIPOS DE DADOS DA LINHA COM PROBLEMA ---
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Matricula', Tipo Esperado: <class 'str'>, Valor: '012234', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Nome', Tipo Esperado: <class 'str'>, Valor: 'RODRIGO DANILO COSTA DE SEIXAS', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'AdmissaoData', Tipo Esperado: typing.Optional[datetime.date], Valor: '2021-10-22 00:00:00', Tipo Real: <class 'pandas._libs.tslibs.timestamps.Timestamp'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DtRescisao', Tipo Esperado: typing.Optional[datetime.date], Valor: 'None', Tipo Real: <class 'NoneType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'SalarioContratual', Tipo Esperado: typing.Optional[float], Valor: '1525.001016', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'FlagAdiantamento', Tipo Esperado: typing.Optional[str], Valor: 'S', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'PercentualAdiant', Tipo Esperado: typing.Optional[float], Valor: '40.0', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'ValorFixoAdiant', Tipo Esperado: typing.Optional[float], Valor: '0.0', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Cargo', Tipo Esperado: typing.Optional[str], Valor: 'Ajudante de Depósito', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DataInicioAfastamento', Tipo Esperado: typing.Optional[datetime.date], Valor: 'NaT', Tipo Real: <class 'pandas._libs.tslibs.nattype.NaTType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DataFimAfastamento', Tipo Esperado: typing.Optional[datetime.date], Valor: 'NaT', Tipo Real: <class 'pandas._libs.tslibs.nattype.NaTType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'CodigoTipoLicenca', Tipo Esperado: typing.Optional[str], Valor: 'nan', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:56 - Falha na validação da Matrícula 012595: 'float' object cannot be interpreted as an integer
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:57 - --- VERIFICANDO TIPOS DE DADOS DA LINHA COM PROBLEMA ---
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Matricula', Tipo Esperado: <class 'str'>, Valor: '012595', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Nome', Tipo Esperado: <class 'str'>, Valor: 'YAGO ALVES BARBOSA', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'AdmissaoData', Tipo Esperado: typing.Optional[datetime.date], Valor: '2024-12-02 00:00:00', Tipo Real: <class 'pandas._libs.tslibs.timestamps.Timestamp'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DtRescisao', Tipo Esperado: typing.Optional[datetime.date], Valor: 'None', Tipo Real: <class 'NoneType'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'SalarioContratual', Tipo Esperado: typing.Optional[float], Valor: '1525.001016', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'FlagAdiantamento', Tipo Esperado: typing.Optional[str], Valor: 'S', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'PercentualAdiant', Tipo Esperado: typing.Optional[float], Valor: '40.0', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'ValorFixoAdiant', Tipo Esperado: typing.Optional[float], Valor: '0.0', Tipo Real: <class 'float'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'Cargo', Tipo Esperado: typing.Optional[str], Valor: 'Ajudante de Depósito', Tipo Real: <class 'str'>
2025-09-08 11:14:17 | ERROR    | src.data_validation:validate_employee_data:62 - Campo: 'DataInicioAfastamento', Tipo Esperado: typing.Optional[datetime.date], Valor: 'NaT', Tipo Real: <class 'pandas._libs.tslibs.nattype.NaTType'>
